# f[Hz]	Vin[V]	Vout[V]
#misure a random per riempire buchi
5395	1.02	9.92
# prime misure, logaritmiche
22.63	1.00	4.20
39.99	1.00	6.24
81.45	1.00	8.4
187.69	1.00	9.44
315.35	1.00	9.6
649.44	1.00	9.76
1278	1.00	9.76
2494	1.00	9.76
4660	1	9.76
9437	1.02	9.84
20156	1.02	9.68
41210	1.02	9
80180	1.02	7.52
161426	1.02	4.94
381950	1.03	2.38
683000	1.04	1.4
# misure sul gomito discendente
1270	1.02	9.80
27960	1.02	9.40
29672	1.02	9.36
33730	1.02	9.20
71488	1.02	7.84
93090	1.02	7.00
# misure sul gomito ascendente
12.7	1.00	2.56
29.16	1.02	5.08
45.47	1.01	6.64
51.03	1.01	7.68
80.57	1.00	8.36
