#Vin	 Vout 	f [kHz]	Fase [gradi] dFase	V è picco picCa
0.704	3.92	0.460	130	2
0.7	1.94	1.14	106	2	
0.696	1.22	1.88	101	3
0.704	0.656	3.46	95	3
0.712	0.255	9.14	93	2

0.696	0.0448	56	90.2	0.5
0.696	0.0264	122	89.3	0.5	
0.688	0.0236	200	87.9	0.5
3.92	0.688	17.7	92	1.
3.92	0.380	33	90.1	0.5
3.86	0.212	66.1	89.6	1
3.86	0.172	90.2	90	1																																																	
1.53	10.9	0.306	138	1
1.54	13.2	0.172	154	1
1.54	14.3	0.092	169	1
1.53	14.6	0.0479	180	1
1.56	1.07	4.57	94	1
1.55	0.380	12.9	91	1
1.56	0.280	17.7	91	1
3.87	0.135	160	89	1.0
3.86	0.132	183	87	2
0.580	5.52	0.0287	170	1
0.580	5.12	0.0156	160	1
0.580	5.44	0.0257	169	1




0.604	0.0248	377	82.0	0.6	
0.188	0.0129	777	76.7	0.5
	
